text,label
"Selamat buat semua yang sudah ditelepon KompasTV, sampai jumpa dipanggung #SUCI4. Yang gak ditelepon tetap semangat yah..!!!",Tidak Ada
@falla_adinda aku aja udah males banget pake wedges. Kalau gak resmi banget mending pake flat/Toms. 😑,Tidak Ada
Cuaca mendung gini biar hatinya gak ikutan mendung mending kamu dengerin 91.60FM sekarang. Dijamin jadi semangat deh. Yuks ah,Tidak Ada
kok gue bisa?? coba yang gak bisa ganti country jadi indonesia kalo masih tetep gak bisa ya yaudah apa boleh buat semangat terus kawan,Tidak Ada
"@rahmarss semangat, semangat ya sahabat! :D gak bs dateng di Penghargaan WMM, bs menghibur diri di Expo-nya. Sama2 keren dan inspiratif kok.",Tidak Ada
"Gak peduli masalah opo ae sing kok adepi dino iki, selama umak sik osi ngipi, wujudno impianmu iku. Semongko *semangat sampek bongko",Tidak Ada
Ada yang merasa terlambat untuk sukses gak? Jangan patah semangat dulu. Nih ada tokoh yang sukses di usia 30an.,Tidak Ada
"Kemaren gue diajakin Lyra Virna karokean bareng Lulu Tobing. Males banget, palingan modus minta dipangku.",Tidak Ada
#cumannanya males banget olahraga: a.lari b.roll depan/belakang c. ... ?,Tidak Ada
"masuk jam 3 sore, masih semangat kerja? Gak ngantuk kan?? Siap2 sebentar lagi #ROCKGASM akan membahana",Tidak Ada
Wilayah #Pati kayak gak musim hujan saja. Panasnya sangat menyengat badan membakar pikiran kita utk tetap semangat..!!! (via @kiswanto_sp),Tidak Ada
"Ngeliat timeline berjam2 aja betah banget, tp ngeliat buku pelajaran semenit aja udh males banget.",Tidak Ada
Sore begini mesti banget ya males mandi? Pengin tiduran mulu dah.,Tidak Ada
Cuaca mendung gini biar hatinya gak ikutan mendung mending kamu dengerin 91.60FM sekarang. Dijamin jadi semangat deh. Yuks ah,Tidak Ada
"Hujannya belum berhenti ya, sama kayak semangat relawan Akber yang gak pernah berhenti buat berbagi dan bikin kelas baru",Tidak Ada
"Semakin nggak enak kampus (fasilitas gak lengkap, wifi bapuk, dosen ribet) harusnya semakin semangat buat lulus cepat.",Tidak Ada
"Kalo lagi ujan seharian, bawaannya males banget buat pacaran #AlibiJomblo",Tidak Ada
"Semangat ya, lo pasti tau siapa yg pantas untuk lo pertahankan, jangan terpengaruh sama penilalian mereka yg gak tau siapa diri lo :)",Tidak Ada
Cuaca mendung gini biar hatinya gak ikutan mendung mending kamu dengerin 91.60FM sekarang. Dijamin jadi semangat deh. Yuks ah,Tidak Ada
Di dalam perjuangan nasional ada semangat besar membela kebebasan beragama. Mgk Felix gak pernah belajar sejarah. Jd ya mafhum aja.,Tidak Ada
"Xemangat pagi! Tweepscare, apa sih tips kamu kalo lg males banget kerja ?",Tidak Ada
"Males banget gerak mo belajar-,,-",Tidak Ada
Ciee yang ketemu hari senin lagi n gak semangat ciee #ciebangke,Ringan
Males banget belajar klo yang ngajar gurunya GALAK | #FaktaPelajar,Tidak Ada
"Pagi vroh! Ayo sekolah, jangan males. Nggak malu apa sama ullaaann yang pagi2 gini seger banget?! :)))",Tidak Ada
"Saat SEMANGAT Telah hilang dalam diri, Maka Bersiaplah Mengubur Kemenangan. Gak Mau Kan?",Tidak Ada
Males banget besok sekolah :((( belum puas liburan :(((,Tidak Ada
"Males banget, boring banget, badmood banget, bete banget, lemes banget, sebel banget, kesel banget, nyesel banget, gak berkesan banget.",Ringan
cowo itu kalo libur males banget bangun pagi. #KamarCowo,Tidak Ada
males banget klw di twitter gk ada yang kenal,Tidak Ada
"Sore K-Lo! Gimana Weekend kamu? Bsk udah hari Senin, semangat buat besok gak nih? Pasti msh inget kan Om pny Monday Special #KFCSnackAttack?",Tidak Ada
"Para Slanker saya kira perlu nonton Pilem, ""Slank Gak ada Matinye""…memberikan inspirasi kerasnya semangat untuk berubah, rocker syng emak.",Tidak Ada
#Cumannanya males banget buka twitter kalau.......?:)),Tidak Ada
"Semangat pagi mel :D RT @mel_zora: Pagi Min, Aku lg liburan dikampung, jd gak bs nonton IMS...krn listriknya baru nyala tar sore..jam 6",Tidak Ada
"Bisa ke @GrazeraCom :) RT @queen_dheea: Kalo beli online bisa gak min?? ""Gramedia: Semangat dong soalnya sbntr lg #OutOfTheBox beredar",Tidak Ada
Akhir akhir ini udh 2 taon aku kok males banget injak mol. Dari dulu sampe sekarang mol ga berubah. Baunya pun tetap. Malas akh !,Tidak Ada
@udjudj gak tau kasusnya apa. Tp Gub-Wagub skrg kata teman di Balai Kota serba tegas n semangat. Yg kerja gak sesuai disuruh minggir :),Tidak Ada
Hawa-hawa libur akhir pekan udah kecium nih! Ayo semangat selesaiin kerjaan biar gak kebawa lembur ;D,Tidak Ada
#Cancer mereka kalo rajin bisa rajin banget! Males? Males banget!,Tidak Ada
gawe seng dino iki gak prei yuk semangat cuk! Seng prei yuk mbangkong ae...,Tidak Ada
udah malem yah. tapi mau kerjain tugas males banget :(,Tidak Ada
sore ini lagi duduk2 aja dirmh males banget,Tidak Ada
"Tahun baru, semangat baru. Ya gak, SportLovers? Nobar bola juga makin semangat dooong? Jangan lupa upload foto...",Tidak Ada
"Gak libur. Tapi, gak loyo juga sik. Semangat!",Tidak Ada
"gw beli dpt diskon gak? RT @DroidStore_Indo: Tahun 2014 Kita harus lebih semangat dan maju lagi, bagi yang merasa butuh Powerbank,Sd card,",Tidak Ada
Mau males-malesan aja rasanya males banget. Dasar pemales.,Tidak Ada
males banget,Tidak Ada
#NyalakanSuluhMu :) RT @Iwang_puspa: Gak sabar dehh nunggu buku sekuelnya @MerryRiana yg sejuta suluh. Moga2 tambah bikin aku semangat :),Tidak Ada
"Tahun baru, semangat baru. Harus bisa jaga spirit nya sepanjang tahun, biar gak kendor sampe akhir tahun. Semangat! Ohof!:)",Tidak Ada
"Buat yg rencana bbq di hal rumah tp hujan gak putus2, ttp semangat. Pindahin acr ke dalam rumah. Ngariung di dapur-ruang makan",Tidak Ada
Parah banget lu no males. Insyaallah deh nanti yaabRT @retnoayungsh @ayuariantii mls lama2 yu mau ngapain kesini donggg kangen niccc{{{}}},Tidak Ada
"Motor gak usah baru, tapi harus ada semangat baru nih buat motor BeAT FI mimin. Saatnya pasang aksesoris dari #weloveHGP dong nih?",Tidak Ada
"6 batang gak boleh lebih @Ajiepakubumi Asudahlah "" liat tumpukan berkas laporan saja udah bikin males banget ini hari "" enak nya",Tidak Ada
Pagi Indosat Mania! Gak kerasa ya ini hari terakhir di tahun 2013. Sambut hari terakhir di tahun ini dengan penuh semangat ya!,Tidak Ada
Dino trakhir nang 2013... seng gak prei tetep semangat rek!,Tidak Ada
"Pengusaha itu antusias bangun setiap pagi. Semangat setiap hari. Gak perlu motivator, inspirator apalagi karburator :D",Tidak Ada
Males banget internet lemot : Bokep indo lokal,Tidak Ada
@githayusnia males banget ih kamu akunnya digembok. Huft~,Tidak Ada
"Yoi “@maybemikaa: 2 karya 1 bulan? Keren bang! Semangat!""@pandji: Gak sabar ingin memperkenalkan 2 karya terbaru gue di Januari 2014 :)""”",Tidak Ada
"ya sip kk, galau tetap galau,, hidup mah tetap dijalani :D RT @Nieyzar_ life must go on kk, hati boleh galau, tapi semangat gak boleh putus",Tidak Ada
Tau gak kenapa relawan akber semangat banget bakal ada #LLD di 2014? Karena eh karena di sana lebih dari sekedar kopdar nasional,Tidak Ada
#Pacaran bikin semangat belajar | Jadi semangatnya karna pacar? Hati-hati jangan sampai ilmunya gak berkah #JanganDekatiZina :'),Tidak Ada
Semangat yg gak kalah kuat juga dimiliki akberians Batam dan Padang dg membuka @akberbatam dan @akberpadang selamaaaat!,Tidak Ada
"&gt;&gt; RT @DikySoemarno semuanya main biasa aja, gak ada greget.. Gak bikin semangat nonton.. Bendol harus kerja keras #TrofeoPersija",Tidak Ada
"“@vinamadyanaw: @JpdrummerIMB kemarin renang :Dskrng mager dirumah,dikasih JP tpi gak kayak hari biasa sekolah3 #ChaChingID”tetap Semangat😊👍",Tidak Ada
"Mau-maunya follow, aku aja males bro RT @Farhanzii: dari followernya 4k sampe skrg 63k gue masih setia follow nih akun. kritis banget",Tidak Ada
Semangat liburan itu sama gak kaya bangun siang terus?,Tidak Ada
Cuma cewek-cewek cantik dan calon istri idaman banget yang jam segini udah bangun dan nggak males-malesan. &lt;3,Tidak Ada
Liat kamu jadi semangat. “@AnissaAssegaf: @my_supersoccer min lo jam segini gak laper ? Masih kenceng aja ngetweetnya :|”,Tidak Ada
"gak apa2. Makasih penyemangatnya RT @bilazasa: @ridwankamil pak semangat terus ya kerjanya, sabar aja kalau dihina2 gitu, da mereka mah",Tidak Ada
Malem minggu gak diapelin gpplah demi masa depan :D semangat kerja sayang :* @adhiian,Tidak Ada
"Iya, mending tidur lagi. RT @EnnyReny: Begini nih kalo weekend. Mager banget di kamar males liat air -__- Iya ngga yung?",Tidak Ada
"BIAR SEHAT'-')9 RT @hyurnwoo: AYO BUDAYAKAN OLAHRAGA//gak ""WeGotLoves: SKJ dulu coba biar semangat , ini masih pagi'3')// yg blm di",Tidak Ada
"semangat ya! rt @Nanaditsa Gapernh berhenti nunggu tuh~""@dsuperboy: Yakin. udah gak mau nungguin dia? Yakin cinta kamu segitu aja?""",Tidak Ada
Dih males banget deh dibanding-bandingin sama cewek!!,Tidak Ada
"#FaktaPelajar : Libur itu, jangankan belajar, nyentuh buku aja males banget :D",Tidak Ada
"Gampang sih, jangan males RT @RnlitaD: @/yeahmahasiswa ada tips gitu gak min biar semangat ngerjain tugas? ( ._.)",Tidak Ada
"Cewek kalo udah males sm cowok pasti males banget, kalo udh benci, ya benci banget kalo sayang, pasti sayang banget.",Tidak Ada
Bosen banget dirumah gak ada makanan gak ada minuman gak boleh main disuruh mandi males banget sih ya elah mau main temen udh pnggl g blh mn,Tidak Ada
@yossinda yo lek awakmu banget yo males. X)),Tidak Ada
#cumannanya males banget kalau olahraga: a.roll depan/belakang b.sikap lilin c. .. ?,Tidak Ada
":)) ""@kupinang: Maafkan saya. Gak ngerti maksud nafas Ilahi ""@ridhaguru: Semangat tak pernah padam dg nafas Ilahi @tausiyahku @peggymelatis",Tidak Ada
"Maafkan saya. Gak ngerti maksud nafas Ilahi ""@ridhaguru: Semangat tak pernah padam dg nafas Ilahi... @tausiyahku @pipietsenja @peggymelatis""",Tidak Ada
"Targetmu mungkin gak ""gue banget"" :) -&gt; @10_julianto: @jamilazzaini kek, udah nentuin target tp msh aja males buat gerak/action. Gmana tuh?",Tidak Ada
"Iya. Jengkel banget. RT @cord_wahyu: Pada maunya instan tuh, males mikir kali ya? :)",Tidak Ada
"Males ah pacaran sama kamu, peraturan nya ketat banget, kek hotpans cabe-cabe-an.",Tidak Ada
#Mention ke temen lo yang liburan males banget mandi :|,Tidak Ada
"Santai saja Pak @SBYudhoyono, masak presiden yg menaungi rakyat berbagai agama gak boleh ucapin natal. Semangat",Tidak Ada
"Namanya juga udah nyaman,mau suka sama orang lain males banget,udah ah fix dikamu aja. :')",Tidak Ada
"Kalo liat temen2 semangat rebutan dlm lelang, kita jg gak mau kan terus2an tdk mencapai target? Nah! =) #OneDayOneJuz",Tidak Ada
Ck! Anak baru ya? RT @cahya_tri: Kenapa namanya males banget? :| @malesbanget #TanyaJawabMBDC,Tidak Ada
"""@efa_fauziyah: @justinbieberID keciri banget tuh males scroll down *oops 😁"" biasanya sih gtu",Tidak Ada
"Dan ""Skripsi"" dicantumin di bio itu gak jamin kamu bakal semangat ngerjainnya loh gaiss.",Tidak Ada
"Semangat pak yoen :)) RT @yoen_k: Thanks, tapi gak gampang. Besok sudah naik 2 film lagi @abbasarap",Tidak Ada
"Semangat UAS, ojok ngerpek. Biar gak malu kalau demo korupsi, kan sama sama gak jujur tuh. SLMGNDK!",Tidak Ada
#retweet yang pagi ini males banget untuk beraktivitas,Tidak Ada
Males banget ya udah pengen liburan,Tidak Ada
"Kedua gelombang ini berbeda. Portugis semangan dengan #kristenisasi, sedang VOC (londo) gak terlalu semangat.",Tidak Ada
#cumannanya kartun yang dulu sering banget bikin kamu males mandi?:))),Tidak Ada
"Selamat kpd timnas sepakbola Indonesia yg meraih medali perak dalam SEA Games 2013 di Myanmar. Walaupun gak dpt emas, tetap semangat!",Tidak Ada
Satu lagi yaaaa. Masih pada semangat gak nih? :D,Tidak Ada
"#Cancer udah mau libur jadi kamu jangan malas2an lagi!Ayo semangat! Kalo gak kemgkn minggu ini kamu bakal kena MOOD swing(btr hepi,btr bete)",Tidak Ada
Lagi males banget ngaktifin paket bbm. :|,Ringan
"Ente juga masih gitu2 aja, males banget cek UpdateJO :p RT @radityapriantam: pemain persija msih itu"" aja min , gk da yg baru ape",Tidak Ada
(((GOYANG))) RT @hansdavidian: @JennyJusuf penting banget. Kalo virgin males ngajarin goyangnya.,Tidak Ada
"Hari ini bagi raport ye? Semangat ye buat abang kakak yang bertugas mengambil raport adek-adeknye. Jangan dimarahi ye, dolok gmane gak.",Tidak Ada
#LoveCumerz males banget nonton beritanya ...... X_x,Tidak Ada
"dih, males banget sih lo RT @RezaNole: Min @my_supersoccer , bagi list pemain yg cedera dong #FMSuperSoccer",Tidak Ada
Pagi begini laper banget. Tapi.. Males bangun.,Tidak Ada
TL gue lg rame ttg JKT48 yg lg lthn keras demi konser 2nd anniversary tgl 21 besok. Semangat ya para member. Kerja keras gak akan bohong :),Tidak Ada
"Ya sdh, unfollow dan block saja RT @basittuta: Lebih males baca twittmu om. RT @fadjroeL: Males banget nontonnya :)",Tidak Ada
Males banget nontonnya :),Tidak Ada
#cumannanya males banget kalau disuruh: a.baca pidato b.baca puisi c.drama d. ... ?,Tidak Ada
"Mendung. Jemuran diangkat dulu gih, baru dilanjut lagi nggerniknya. Tetep semangat meski gak dapet dapet gendakan. SLMGNDK!",Tidak Ada
Males banget hari ini oh ampun mager nya massive ah apalah. #doseup,Ringan
Kamu punya gak sih qoute yang selalu menjadi motivasi kamu untuk semangat menjalani hari? Yuk di share...,Tidak Ada
"Iyo cok""@aslisuroboyo: Gusti pangeran cidek karo wong seng usaha terus gak tau nyerah, dadi tetep semangat cuk! :)""",Tidak Ada
"Gusti pangeran cidek karo wong seng usaha terus gak tau nyerah, dadi tetep semangat cuk! :)",Tidak Ada
"Semangat :D RT @NengHanan: Gak papalah smaleman ini jadi satpam kostan,sugan we bayar kostan nana bisa di anjukk :D",Tidak Ada
Kenapa disaat gue udah semangat tapi malah banyak masalah yang mendera ngebuat gue jadi gak semangat .,Ringan
"Ngeliat timeline berjam2 aja betah banget, tp ngeliat buku pelajaran semenit aja udh males banget.",Tidak Ada
"Sebenarnya kita gak boleh kalah sama udara dingin, nah biar semangat I-Listeners mengharapkan ada apasih malam ini? #SentilanTengahMalam",Tidak Ada
"Sebenarnya kita gak boleh kalah sama udara dingin, nah biar semangat I-Listeners mengharapkan ada apasih malam ini? #SenilanTengahMalam",Tidak Ada
"Boleh &gt; @cintanaya_: @AntiMiras_ID waaah jagoan saya boleh ikutan gak Ni? Bukan soal gratisnya doang, tp kalo rame2 EQ pasti semangat",Tidak Ada
Sifat negatif yang selalu timbul dalam berhubungan adalah sifat posesif. Apa-apa diposesifin. Males banget. #SelasaSeru,Tidak Ada
"ngopo ki,males banget",Tidak Ada
#cumannanya Males banget stay di Sekolah kalau: a.cuma free class b.ada orang yang bikin jengkel c. .. ?,Tidak Ada
#cumannanya males banget berurusan sama orang yang sifatnya gimana?,Tidak Ada
Gue males pacaran. Rugi bensin. RT @billieboyy: Sering banget ngeliat Alitt nongkrong sendirian di Dunkin Jakal. #TweetLayananMasyarakat,Tidak Ada
#cumannanya males banget jalan keluar kalau: a.panas b. Gada duit c.ga ada temen?,Tidak Ada
"Tesis oi tesis :D RT @LarasestuHsr: ah, males banget, virtual kasih coklatnya #ngelunjak",Tidak Ada
Kalau di masyarakat orang males itu didiskredit banget sih ya :|,Tidak Ada
